home_team,away_team,home_goals,away_goals,result,season
Lyon,Schalke 04,1,0,H,2010
Barcelona,Panathinaikos,5,1,H,2010
FC Copenhagen,Rubin Kazan,1,0,H,2010
Lyon,Schalke 04,1,0,H,2010
Benfica,Hapoel Tel Aviv,2,0,H,2010
Bursaspor,Valencia,0,4,A,2010
Manchester Utd,Rangers,0,0,D,2010
Werder Bremen,Tottenham,2,2,D,2010
Twente,Inter,2,2,D,2010
Bursaspor,Valencia,0,4,A,2010
Werder Bremen,Tottenham,2,2,D,2010
Twente,Inter,2,2,D,2010
Barcelona,Panathinaikos,5,1,H,2010
FC Copenhagen,Rubin Kazan,1,0,H,2010
Benfica,Hapoel Tel Aviv,2,0,H,2010
Manchester Utd,Rangers,0,0,D,2010
Arsenal,Braga,6,0,H,2010
Real Madrid,Ajax,2,0,H,2010
Shakhtar,Partizan,1,0,H,2010
MÅ K Å½ilina,Chelsea,1,4,A,2010
Marseille,Spartak Moscow,0,1,A,2010
Bayern Munich,Roma,2,0,H,2010
Milan,Auxerre,2,0,H,2010
Real Madrid,Ajax,2,0,H,2010
Arsenal,Braga,6,0,H,2010
Milan,Auxerre,2,0,H,2010
Bayern Munich,Roma,2,0,H,2010
Marseille,Spartak Moscow,0,1,A,2010
MÅ K Å½ilina,Chelsea,1,4,A,2010
Shakhtar,Partizan,1,0,H,2010
CFR Cluj,Basel,2,1,H,2010
CFR Cluj,Basel,2,1,H,2010
Auxerre,Real Madrid,0,1,A,2010
Partizan,Arsenal,1,3,A,2010
Spartak Moscow,MÅ K Å½ilina,3,0,H,2010
Ajax,Milan,1,1,D,2010
Braga,Shakhtar,0,3,A,2010
Roma,CFR Cluj,2,1,H,2010
Chelsea,Marseille,2,0,H,2010
Basel,Bayern Munich,1,2,A,2010
Basel,Bayern Munich,1,2,A,2010
Braga,Shakhtar,0,3,A,2010
Ajax,Milan,1,1,D,2010
Spartak Moscow,MÅ K Å½ilina,3,0,H,2010
Auxerre,Real Madrid,0,1,A,2010
Partizan,Arsenal,1,3,A,2010
Roma,CFR Cluj,2,1,H,2010
Chelsea,Marseille,2,0,H,2010
Valencia,Manchester Utd,0,1,A,2010
Schalke 04,Benfica,2,0,H,2010
Inter,Werder Bremen,4,0,H,2010
Tottenham,Twente,4,1,H,2010
Rubin Kazan,Barcelona,1,1,D,2010
Valencia,Manchester Utd,0,1,A,2010
Hapoel Tel Aviv,Lyon,1,3,A,2010
Hapoel Tel Aviv,Lyon,1,3,A,2010
Rubin Kazan,Barcelona,1,1,D,2010
Rangers,Bursaspor,1,0,H,2010
Panathinaikos,FC Copenhagen,0,2,A,2010
